»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 17:3:25
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 05:03:08 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	95.00
Field:	3653.85 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.2003	-2.560902
   2	1.0000e-003	4.6511	1.731523
   3	1.5000e-003	8.3137	4.620184
   4	2.0000e-003	12.1621	7.853991
   5	2.5000e-003	15.7750	10.621594
   6	3.0000e-003	19.6779	14.273955
   7	3.5000e-003	23.3276	17.429202
   8	4.0000e-003	27.0703	20.807249
   9	4.5000e-003	30.7809	24.057798
  10	5.0000e-003	34.5877	27.446148
  11	5.5000e-003	38.2903	30.772681
  12	6.0000e-003	42.0138	33.962701
  13	6.5000e-003	45.7661	37.089616
  14	7.0000e-003	49.6273	40.199789
  15	7.5000e-003	53.2514	43.111632
  16	8.0000e-003	57.0806	46.000293
  17	8.5000e-003	60.8505	48.787214
  18	9.0000e-003	64.4618	51.450501
  19	9.5000e-003	68.4176	54.211664
  20	1.0000e-002	72.1170	56.829876
  21	1.0500e-002	75.8773	59.390134
  22	1.1000e-002	79.6120	61.999331
  23	1.1500e-002	83.4187	64.562165
  24	1.2000e-002	87.0925	67.194543
  25	1.2500e-002	90.8672	69.848815
  26	1.3000e-002	94.6211	72.579070
  27	1.3500e-002	90.1046	71.783175
  28	1.4000e-002	86.0847	70.787662
  29	1.4500e-002	82.5151	69.762528
  30	1.5000e-002	78.7836	68.607321
  31	1.5500e-002	75.2012	67.373555
  32	1.6000e-002	71.4633	66.001988
  33	1.6500e-002	67.7559	64.505499
  34	1.7000e-002	63.9635	62.912421
  35	1.7500e-002	60.3635	61.427523
  36	1.8000e-002	56.5006	59.561419
  37	1.8500e-002	52.7596	57.804783
  38	1.9000e-002	48.9688	55.834363
  39	1.9500e-002	45.2646	53.851065
  40	2.0000e-002	41.4402	51.639816
  41	2.0500e-002	37.6735	49.346144
  42	2.1000e-002	33.8940	46.939140
  43	2.1500e-002	30.0792	44.235930
  44	2.2000e-002	26.3477	41.544310
  45	2.2500e-002	22.5730	38.586105
  46	2.3000e-002	18.7967	35.442448
  47	2.3500e-002	15.0380	32.088870
  48	2.4000e-002	11.3145	28.491887
  49	2.4500e-002	7.5334	24.610289
  50	2.5000e-002	3.7907	20.505891
  51	2.5500e-002	0.0128	16.279147
  52	2.6000e-002	-3.8308	11.931344
  53	2.6500e-002	-7.5895	7.669828
  54	2.7000e-002	-11.4555	3.426342
  55	2.7500e-002	-15.1277	-0.295563
  56	2.8000e-002	-19.0418	-4.559655
  57	2.8500e-002	-22.7797	-8.366558
  58	2.9000e-002	-26.5480	-12.267475
  59	2.9500e-002	-30.3820	-15.885063
  60	3.0000e-002	-34.1519	-19.782116
  61	3.0500e-002	-37.9395	-23.467960
  62	3.1000e-002	-41.6982	-26.987671
  63	3.1500e-002	-45.5418	-30.444278
  64	3.2000e-002	-49.2957	-33.777249
  65	3.2500e-002	-53.0752	-36.996890
  66	3.3000e-002	-56.8691	-40.078730
  67	3.3500e-002	-60.7320	-42.981558
  68	3.4000e-002	-64.3865	-45.917870
  69	3.4500e-002	-68.2205	-48.814259
  70	3.5000e-002	-72.0914	-51.624361
  71	3.5500e-002	-75.8853	-54.274769
  72	3.6000e-002	-79.6056	-56.981843
  73	3.6500e-002	-83.4588	-59.728841
  74	3.7000e-002	-87.3216	-62.523489
  75	3.7500e-002	-91.0611	-65.293667
  76	3.8000e-002	-94.9095	-68.219677
  77	3.8500e-002	-90.5051	-67.266663
  78	3.9000e-002	-86.5125	-66.657507
  79	3.9500e-002	-82.8692	-65.879642
  80	4.0000e-002	-79.2162	-64.884129
  81	4.0500e-002	-75.6017	-63.741801
  82	4.1000e-002	-71.8751	-62.480989
  83	4.1500e-002	-68.0363	-61.010258
  84	4.2000e-002	-64.3433	-59.531799
  85	4.2500e-002	-60.6839	-57.960614
  86	4.3000e-002	-56.8243	-56.198827
  87	4.3500e-002	-53.1040	-54.407419
  88	4.4000e-002	-49.3197	-52.510406
  89	4.4500e-002	-45.5193	-50.445973
  90	4.5000e-002	-41.7414	-48.264344
  91	4.5500e-002	-38.0420	-46.023474
  92	4.6000e-002	-34.1904	-43.536624
  93	4.6500e-002	-30.3996	-40.924852
  94	4.7000e-002	-26.6634	-38.177854
  95	4.7500e-002	-22.9271	-35.282753
  96	4.8000e-002	-19.1043	-32.137808
  97	4.8500e-002	-15.3969	-28.885971
  98	4.9000e-002	-11.5228	-25.255505
  99	4.9500e-002	-7.8090	-21.573524
 100	5.0000e-002	-4.0199	-17.604351
 101	5.0500e-002	-0.2451	-13.582376
 102	5.1000e-002	3.5104	-9.546234
 103	5.1500e-002	7.4020	-5.398049
 104	5.2000e-002	11.1079	-1.443043
