»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 16:58:50
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 04:58:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	40.00
Field:	1538.46 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1810	-1.005816
   2	1.0000e-003	1.1055	0.221511
   3	1.5000e-003	2.7397	1.475883
   4	2.0000e-003	4.3900	2.732831
   5	2.5000e-003	6.0306	4.005233
   6	3.0000e-003	7.5943	5.258317
   7	3.5000e-003	9.2445	6.580945
   8	4.0000e-003	10.7762	7.796682
   9	4.5000e-003	12.3576	9.099992
  10	5.0000e-003	13.8364	10.327319
  11	5.5000e-003	15.4962	11.737522
  12	6.0000e-003	16.9702	13.035681
  13	6.5000e-003	18.5948	14.403384
  14	7.0000e-003	20.1169	15.762072
  15	7.5000e-003	21.7319	17.216062
  16	8.0000e-003	23.2764	18.630128
  17	8.5000e-003	24.8449	20.054497
  18	9.0000e-003	26.3926	21.422201
  19	9.5000e-003	28.0124	22.918690
  20	1.0000e-002	29.5777	24.337907
  21	1.0500e-002	31.1719	25.817654
  22	1.1000e-002	32.6715	27.176342
  23	1.1500e-002	34.2945	28.667680
  24	1.2000e-002	35.8710	30.054701
  25	1.2500e-002	37.4460	31.521569
  26	1.3000e-002	39.0097	32.855788
  27	1.3500e-002	38.4505	33.000028
  28	1.4000e-002	36.9798	32.135877
  29	1.4500e-002	35.4865	31.328391
  30	1.5000e-002	33.9468	30.500299
  31	1.5500e-002	32.4328	29.695389
  32	1.6000e-002	30.8242	28.618741
  33	1.6500e-002	29.2509	27.592320
  34	1.7000e-002	27.6487	26.484764
  35	1.7500e-002	26.0770	25.436449
  36	1.8000e-002	24.4732	24.255484
  37	1.8500e-002	22.8790	23.154367
  38	1.9000e-002	21.2817	21.903859
  39	1.9500e-002	19.7083	20.757667
  40	2.0000e-002	18.0757	19.311404
  41	2.0500e-002	16.4928	18.176803
  42	2.1000e-002	14.8794	16.675163
  43	2.1500e-002	13.2804	15.371852
  44	2.2000e-002	11.6798	13.888242
