»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 17:0:15
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 04:59:54 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	60.00
Field:	2307.69 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1891	-1.800423
   2	1.0000e-003	2.9624	0.934984
   3	1.5000e-003	5.3529	2.801087
   4	2.0000e-003	7.6904	4.559011
   5	2.5000e-003	10.0713	6.481780
   6	3.0000e-003	12.4521	8.381368
   7	3.5000e-003	14.7416	10.292547
   8	4.0000e-003	17.1881	12.395616
   9	4.5000e-003	19.5113	14.417551
  10	5.0000e-003	21.8713	16.501302
  11	5.5000e-003	24.3370	18.712551
  12	6.0000e-003	26.4903	20.707440
  13	6.5000e-003	29.0602	23.016567
  14	7.0000e-003	31.3353	25.079712
  15	7.5000e-003	33.7209	27.229144
  16	8.0000e-003	36.1562	29.441681
  17	8.5000e-003	38.4762	31.513842
  18	9.0000e-003	40.8202	33.526761
  19	9.5000e-003	43.2763	35.653012
  20	1.0000e-002	45.6075	37.595099
  21	1.0500e-002	47.9883	39.586125
  22	1.1000e-002	50.3963	41.462532
  23	1.1500e-002	52.6650	43.265530
  24	1.2000e-002	55.1981	45.241102
  25	1.2500e-002	57.4491	46.975844
  26	1.3000e-002	59.9100	48.808464
  27	1.3500e-002	56.7458	47.404700
  28	1.4000e-002	54.0926	46.031846
  29	1.4500e-002	51.8063	45.000273
  30	1.5000e-002	49.6385	44.102637
  31	1.5500e-002	47.1952	42.810917
  32	1.6000e-002	44.9377	41.726542
  33	1.6500e-002	42.5121	40.433534
  34	1.7000e-002	40.1777	38.966666
  35	1.7500e-002	37.8449	37.595099
  36	1.8000e-002	35.4080	35.848766
  37	1.8500e-002	33.0785	34.571213
  38	1.9000e-002	30.7377	32.969120
  39	1.9500e-002	28.3216	31.274301
  40	2.0000e-002	25.9552	29.542134
  41	2.0500e-002	23.6240	27.781635
  42	2.1000e-002	21.2064	25.861441
  43	2.1500e-002	18.8464	23.854961
  44	2.2000e-002	16.4335	21.831739
  45	2.2500e-002	14.0799	19.726094
  46	2.3000e-002	11.7311	17.550905
  47	2.3500e-002	9.2830	15.303596
  48	2.4000e-002	6.9518	13.093634
  49	2.4500e-002	4.5101	10.744585
  50	2.5000e-002	2.1918	8.512730
  51	2.5500e-002	-0.2035	6.249966
  52	2.6000e-002	-2.6740	3.871296
  53	2.6500e-002	-5.0452	1.685804
  54	2.7000e-002	-7.3812	-0.520294
  55	2.7500e-002	-9.8486	-2.864192
  56	2.8000e-002	-12.2038	-5.070290
  57	2.8500e-002	-14.5702	-7.258358
  58	2.9000e-002	-16.9798	-9.543015
  59	2.9500e-002	-19.4424	-11.906231
  60	3.0000e-002	-21.7447	-14.077557
  61	3.0500e-002	-24.1752	-16.373804
  62	3.1000e-002	-26.4919	-18.554145
  63	3.1500e-002	-28.9801	-20.983042
  64	3.2000e-002	-31.3000	-23.154367
  65	3.2500e-002	-33.7386	-25.446751
  66	3.3000e-002	-36.0745	-27.570426
  67	3.3500e-002	-38.5451	-29.844780
  68	3.4000e-002	-40.8234	-31.889896
  69	3.4500e-002	-43.3212	-34.093418
  70	3.5000e-002	-45.6651	-36.134670
  71	3.5500e-002	-48.1341	-38.173347
  72	3.6000e-002	-50.5277	-40.181115
  73	3.6500e-002	-52.8525	-42.052370
  74	3.7000e-002	-55.2702	-43.967412
  75	3.7500e-002	-57.7583	-45.882454
  76	3.8000e-002	-60.0879	-47.672574
  77	3.8500e-002	-57.1143	-46.083360
  78	3.9000e-002	-54.4386	-45.175421
  79	3.9500e-002	-52.1619	-44.195363
  80	4.0000e-002	-49.9686	-43.150911
  81	4.0500e-002	-47.5397	-42.053658
  82	4.1000e-002	-45.2390	-40.866254
  83	4.1500e-002	-42.8277	-39.511429
  84	4.2000e-002	-40.5414	-38.266072
  85	4.2500e-002	-38.1654	-36.826249
  86	4.3000e-002	-35.7797	-35.336199
  87	4.3500e-002	-33.3909	-33.829408
  88	4.4000e-002	-30.9876	-32.174512
  89	4.4500e-002	-28.6036	-30.319999
  90	4.5000e-002	-26.2756	-28.841540
  91	4.5500e-002	-23.9669	-27.053996
  92	4.6000e-002	-21.4883	-25.104182
  93	4.6500e-002	-19.1844	-23.284441
  94	4.7000e-002	-16.6994	-21.164629
  95	4.7500e-002	-14.3491	-19.092469
  96	4.8000e-002	-12.0355	-17.074398
  97	4.8500e-002	-9.5602	-14.922390
  98	4.9000e-002	-7.2242	-12.736898
  99	4.9500e-002	-4.7889	-10.525649
 100	5.0000e-002	-2.4609	-8.358187
 101	5.0500e-002	-0.0176	-5.915124
 102	5.1000e-002	2.2671	-3.922810
 103	5.1500e-002	4.7697	-1.645880
 104	5.2000e-002	7.0960	0.454613
 105	5.2500e-002	9.5698	2.808814
 106	5.3000e-002	11.8449	4.860369
 107	5.3500e-002	14.2673	7.160481
 108	5.4000e-002	16.6450	9.425820
