»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 16:59:48
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 04:59:35 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	55.00
Field:	2115.38 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1923	-1.561526
   2	1.0000e-003	2.5507	0.790100
   3	1.5000e-003	4.7745	2.562190
   4	2.0000e-003	6.8701	4.114057
   5	2.5000e-003	9.1196	5.880996
   6	3.0000e-003	11.2328	7.574526
   7	3.5000e-003	13.4102	9.367222
   8	4.0000e-003	15.5956	11.197266
   9	4.5000e-003	17.7745	13.074960
  10	5.0000e-003	19.9198	15.001593
  11	5.5000e-003	22.1100	16.956559
  12	6.0000e-003	24.2761	18.874177
  13	6.5000e-003	26.3846	20.808537
  14	7.0000e-003	28.6228	22.881986
  15	7.5000e-003	30.7761	24.851118
  16	8.0000e-003	32.9263	26.777751
  17	8.5000e-003	35.1116	28.754610
  18	9.0000e-003	37.2874	30.683819
  19	9.5000e-003	39.4183	32.566665
  20	1.0000e-002	41.6869	34.533221
  21	1.0500e-002	43.7986	36.358113
  22	1.1000e-002	45.9423	38.149521
  23	1.1500e-002	48.1549	39.937066
  24	1.2000e-002	50.3627	41.746504
  25	1.2500e-002	52.4055	43.397536
  26	1.3000e-002	54.7174	45.158035
  27	1.3500e-002	52.0370	43.904951
  28	1.4000e-002	49.8324	42.775501
  29	1.4500e-002	47.6534	41.809609
  30	1.5000e-002	45.5914	40.735537
  31	1.5500e-002	43.4653	39.600935
  32	1.6000e-002	41.3264	38.502394
  33	1.6500e-002	39.1635	37.287946
  34	1.7000e-002	37.0663	36.018119
  35	1.7500e-002	34.7864	34.499737
  36	1.8000e-002	32.6715	33.246653
  37	1.8500e-002	30.4701	31.741149
  38	1.9000e-002	28.3200	30.243372
  39	1.9500e-002	26.1042	28.588477
  40	2.0000e-002	23.9925	27.097139
  41	2.0500e-002	21.7719	25.301868
  42	2.1000e-002	19.5497	23.456370
  43	2.1500e-002	17.4124	21.681704
  44	2.2000e-002	15.2222	19.999763
  45	2.2500e-002	13.0225	17.773060
  46	2.3000e-002	10.9060	15.886351
