»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 16:58:14
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 04:58:00 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	30.00
Field:	1153.85 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
 103	5.1500e-002	1.3634	-0.692223
 104	5.2000e-002	2.5507	0.254352
 105	5.2500e-002	3.7939	1.284637
 106	5.3000e-002	4.9860	2.245377
 107	5.3500e-002	6.1491	3.186800
 108	5.4000e-002	7.3540	4.208070
 109	5.4500e-002	8.5909	5.269264
 110	5.5000e-002	9.7813	6.228717
 111	5.5500e-002	10.9765	7.288622
 112	5.6000e-002	12.1301	8.246787
 113	5.6500e-002	13.3717	9.367222
 114	5.7000e-002	14.5525	10.371750
 115	5.7500e-002	15.7622	11.483170
 116	5.8000e-002	16.9366	12.526334
 117	5.8500e-002	18.1382	13.609421
 118	5.9000e-002	19.3222	14.666751
 119	5.9500e-002	20.5399	15.855442
 120	6.0000e-002	21.7207	16.885727
 121	6.0500e-002	22.9031	17.957223
 122	6.1000e-002	24.1159	19.117582
 123	6.1500e-002	25.2999	20.221275
 124	6.2000e-002	26.5096	21.364891
 125	6.2500e-002	27.7641	22.527825
 126	6.3000e-002	28.9577	23.649548
 127	6.3500e-002	28.7814	23.746137
 128	6.4000e-002	27.8650	23.652124
 129	6.4500e-002	26.7451	23.097058
 130	6.5000e-002	25.5947	22.507220
 131	6.5500e-002	24.4123	21.673977
 132	6.6000e-002	23.2267	20.802098
 133	6.6500e-002	22.0411	20.028096
 134	6.7000e-002	20.8411	19.207732
 135	6.7500e-002	19.6715	18.405397
 136	6.8000e-002	18.4586	17.447232
 137	6.8500e-002	17.2570	16.545733
 138	6.9000e-002	16.0602	15.644234
 139	6.9500e-002	14.8730	14.657736
 140	7.0000e-002	13.6649	13.703434
 141	7.0500e-002	12.4745	12.805799
 142	7.1000e-002	11.2745	11.739454
 143	7.1500e-002	10.0745	10.783864
 144	7.2000e-002	8.8873	9.741989
 145	7.2500e-002	7.6840	8.752915
 146	7.3000e-002	6.5016	7.823083
