»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 16:57:31
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 04:56:58 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	10.00
Field:	384.62 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	0.0063	0.003220
   2	1.0000e-003	0.3788	0.298139
   3	1.5000e-003	0.7846	0.517074
   4	2.0000e-003	1.1763	0.797827
   5	2.5000e-003	1.5836	1.085019
   6	3.0000e-003	1.9804	1.338727
   7	3.5000e-003	2.3810	1.645236
   8	4.0000e-003	2.7837	1.947883
   9	4.5000e-003	3.1790	2.226060
  10	5.0000e-003	3.5803	2.509388
  11	5.5000e-003	3.9792	2.848094
  12	6.0000e-003	4.3787	3.118544
  13	6.5000e-003	4.7791	3.439220
  14	7.0000e-003	5.1807	3.754745
  15	7.5000e-003	5.5762	4.036785
  16	8.0000e-003	5.9802	4.366477
  17	8.5000e-003	6.3783	4.672986
  18	9.0000e-003	6.7731	4.979496
  19	9.5000e-003	7.1802	5.305324
  20	1.0000e-002	7.5784	5.609258
  21	1.0500e-002	7.9761	5.941525
  22	1.1000e-002	8.3746	6.263489
  23	1.1500e-002	8.7753	6.588029
  24	1.2000e-002	9.1748	6.876508
  25	1.2500e-002	9.5761	7.251275
  26	1.3000e-002	9.9738	7.551345
  27	1.3500e-002	9.6155	7.298925
  28	1.4000e-002	9.2126	7.006582
  29	1.4500e-002	8.8123	6.734844
  30	1.5000e-002	8.4131	6.430910
  31	1.5500e-002	8.0139	6.205535
  32	1.6000e-002	7.6129	5.931222
  33	1.6500e-002	7.2180	5.647894
  34	1.7000e-002	6.8147	5.352974
  35	1.7500e-002	6.4197	5.073510
  36	1.8000e-002	6.0156	4.773439
  37	1.8500e-002	5.6201	4.486247
  38	1.9000e-002	5.2168	4.197767
  39	1.9500e-002	4.8201	3.906712
  40	2.0000e-002	4.4183	3.575733
  41	2.0500e-002	4.0189	3.275662
  42	2.1000e-002	3.6182	2.707718
  43	2.1500e-002	3.2228	2.693551
  44	2.2000e-002	2.8191	2.381890
  45	2.2500e-002	2.4207	2.075380
  46	2.3000e-002	2.0236	1.783037
  47	2.3500e-002	1.6229	1.476527
  48	2.4000e-002	1.2173	1.149412
  49	2.4500e-002	0.8224	0.890553
  50	2.5000e-002	0.4168	0.542831
  51	2.5500e-002	0.0220	0.294275
  52	2.6000e-002	-0.3800	-0.030265
  53	2.6500e-002	-0.7780	-0.307154
  54	2.7000e-002	-1.1784	-0.604649
