»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 17:6:15
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 05:04:19 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	110.00
Field:	4230.77 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1506	-1.798491
   2	1.0000e-003	5.1830	2.405072
   3	1.5000e-003	9.3951	5.768952
   4	2.0000e-003	13.6794	9.304117
   5	2.5000e-003	17.9604	12.980947
   6	3.0000e-003	22.3615	16.890878
   7	3.5000e-003	26.6361	20.697782
   8	4.0000e-003	31.0725	24.683697
   9	4.5000e-003	35.3904	28.556280
  10	5.0000e-003	39.7579	32.401819
  11	5.5000e-003	44.1270	36.157208
  12	6.0000e-003	48.5314	39.809568
  13	6.5000e-003	52.8605	43.370491
  14	7.0000e-003	57.2569	46.763992
  15	7.5000e-003	61.5603	50.008102
  16	8.0000e-003	65.9647	53.213576
  17	8.5000e-003	70.3033	56.317309
  18	9.0000e-003	74.7077	59.393998
  19	9.5000e-003	79.0192	62.407582
  20	1.0000e-002	83.3867	65.409574
  21	1.0500e-002	87.7847	68.484975
  22	1.1000e-002	92.1057	71.521740
  23	1.1500e-002	96.5149	74.731078
  24	1.2000e-002	100.8440	77.950718
  25	1.2500e-002	105.1586	81.431794
  26	1.3000e-002	109.5742	85.085442
  27	1.3500e-002	103.6462	85.122790
  28	1.4000e-002	99.5334	84.912869
  29	1.4500e-002	95.4222	84.125989
  30	1.5000e-002	91.1620	83.354563
  31	1.5500e-002	86.9019	82.208371
  32	1.6000e-002	82.6096	80.853546
  33	1.6500e-002	78.3126	79.417587
  34	1.7000e-002	73.9996	77.882462
  35	1.7500e-002	69.6288	76.155447
  36	1.8000e-002	65.2341	74.405250
  37	1.8500e-002	60.9178	72.495359
  38	1.9000e-002	56.5311	70.519788
  39	1.9500e-002	52.1876	68.441188
  40	2.0000e-002	47.8297	66.199030
  41	2.0500e-002	43.3820	63.776573
  42	2.1000e-002	39.0369	61.256238
  43	2.1500e-002	34.6854	58.609693
  44	2.2000e-002	30.2891	55.683684
  45	2.2500e-002	25.9808	52.603132
  46	2.3000e-002	21.6422	49.288190
  47	2.3500e-002	17.2346	45.597194
  48	2.4000e-002	12.9055	41.653778
  49	2.4500e-002	8.5604	37.264764
  50	2.5000e-002	4.1977	32.480378
  51	2.5500e-002	-0.0945	27.446148
  52	2.6000e-002	-4.5181	22.086091
  53	2.6500e-002	-8.9097	16.621717
  54	2.7000e-002	-13.2772	11.506352
  55	2.7500e-002	-17.6704	6.454092
  56	2.8000e-002	-22.1677	1.564101
  57	2.8500e-002	-26.5496	-3.209982
  58	2.9000e-002	-30.9059	-7.651798
  59	2.9500e-002	-35.3551	-12.109068
  60	3.0000e-002	-39.6922	-16.379600
  61	3.0500e-002	-44.1254	-20.547102
  62	3.1000e-002	-48.4673	-24.543320
  63	3.1500e-002	-52.8653	-28.439085
  64	3.2000e-002	-57.2697	-32.127506
  65	3.2500e-002	-61.6628	-35.732215
  66	3.3000e-002	-66.0303	-39.173367
  67	3.3500e-002	-70.4652	-42.595201
  68	3.4000e-002	-74.8215	-45.903704
  69	3.4500e-002	-79.2050	-49.194177
  70	3.5000e-002	-83.5918	-52.447301
  71	3.5500e-002	-88.0170	-55.790576
  72	3.6000e-002	-92.3989	-59.155745
  73	3.6500e-002	-96.7776	-62.629093
  74	3.7000e-002	-101.1340	-66.241530
  75	3.7500e-002	-105.4983	-70.121840
  76	3.8000e-002	-109.8642	-74.261010
  77	3.8500e-002	-103.8336	-74.791607
  78	3.9000e-002	-99.8474	-75.118723
  79	3.9500e-002	-95.5568	-74.921681
  80	4.0000e-002	-91.3303	-74.257147
  81	4.0500e-002	-87.1085	-73.355647
  82	4.1000e-002	-82.7666	-72.172108
  83	4.1500e-002	-78.4792	-70.917736
  84	4.2000e-002	-74.1389	-69.435413
  85	4.2500e-002	-69.7971	-67.837183
  86	4.3000e-002	-65.4536	-66.119183
  87	4.3500e-002	-61.1005	-64.276261
  88	4.4000e-002	-56.7474	-62.383112
  89	4.4500e-002	-52.3158	-60.143530
  90	4.5000e-002	-48.0588	-58.070082
  91	4.5500e-002	-43.6063	-55.620579
  92	4.6000e-002	-39.3205	-53.019110
  93	4.6500e-002	-34.8889	-50.530971
  94	4.7000e-002	-30.5438	-47.465873
  95	4.7500e-002	-26.2003	-44.376306
  96	4.8000e-002	-21.8344	-41.063940
  97	4.8500e-002	-17.4925	-37.410292
  98	4.9000e-002	-13.1298	-33.433392
  99	4.9500e-002	-8.8007	-29.215663
 100	5.0000e-002	-4.4685	-24.605137
 101	5.0500e-002	-0.1218	-19.725450
 102	5.1000e-002	4.2810	-14.648721
 103	5.1500e-002	8.6581	-9.590021
 104	5.2000e-002	13.0625	-4.595715
 105	5.2500e-002	17.4461	0.376698
 106	5.3000e-002	21.8713	5.199720
 107	5.3500e-002	26.1923	9.875926
 108	5.4000e-002	30.6367	14.557283
 109	5.4500e-002	35.0219	19.024856
