»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 17:1:4
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 05:00:48 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	65.00
Field:	2500.00 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1714	-1.890573
   2	1.0000e-003	3.3710	1.106269
   3	1.5000e-003	5.8656	3.030326
   4	2.0000e-003	8.4146	4.985291
   5	2.5000e-003	10.9813	6.984044
   6	3.0000e-003	13.4903	9.097416
   7	3.5000e-003	16.1259	11.279045
   8	4.0000e-003	18.6429	13.465825
   9	4.5000e-003	21.2688	15.801996
  10	5.0000e-003	23.7378	18.017109
  11	5.5000e-003	26.3990	20.421536
  12	6.0000e-003	28.8968	22.699754
  13	6.5000e-003	31.5356	25.083576
  14	7.0000e-003	34.0494	27.354066
  15	7.5000e-003	36.6561	29.758494
  16	8.0000e-003	39.1411	31.870578
  17	8.5000e-003	41.8199	34.195159
  18	9.0000e-003	44.3513	36.357469
  19	9.5000e-003	46.9373	38.518492
  20	1.0000e-002	49.5408	40.607395
  21	1.0500e-002	52.0258	42.595845
  22	1.1000e-002	54.7110	44.695051
  23	1.1500e-002	57.2841	46.650017
  24	1.2000e-002	59.8251	48.540589
  25	1.2500e-002	62.4255	50.453056
  26	1.3000e-002	64.9265	52.263782
  27	1.3500e-002	61.3632	50.759566
  28	1.4000e-002	58.4040	49.390575
  29	1.4500e-002	56.0104	48.491651
  30	1.5000e-002	53.5558	47.226976
  31	1.5500e-002	50.9539	46.127147
  32	1.6000e-002	48.5298	44.928153
  33	1.6500e-002	45.9407	43.564313
  34	1.7000e-002	43.3548	42.130929
  35	1.7500e-002	40.7753	40.953828
  36	1.8000e-002	38.2391	39.153405
  37	1.8500e-002	35.7108	37.650477
  38	1.9000e-002	33.1169	35.886114
  39	1.9500e-002	30.5342	34.202886
  40	2.0000e-002	27.9451	32.316177
  41	2.0500e-002	25.3816	30.441058
  42	2.1000e-002	22.9015	28.444881
  43	2.1500e-002	20.2402	26.318630
  44	2.2000e-002	17.7088	24.162759
  45	2.2500e-002	15.0925	21.896132
  46	2.3000e-002	12.5402	19.566400
  47	2.3500e-002	9.9799	17.210911
  48	2.4000e-002	7.4117	14.742090
  49	2.4500e-002	4.7440	12.159939
  50	2.5000e-002	2.2495	9.722027
  51	2.5500e-002	-0.3813	7.136011
  52	2.6000e-002	-2.9736	4.472725
  53	2.6500e-002	-5.6140	2.032237
  54	2.7000e-002	-8.1358	-0.405675
  55	2.7500e-002	-10.7874	-2.933737
  56	2.8000e-002	-13.3157	-5.367785
  57	2.8500e-002	-15.9288	-7.913877
  58	2.9000e-002	-18.5419	-10.426484
  59	2.9500e-002	-21.1423	-12.839927
  60	3.0000e-002	-23.6801	-15.293293
  61	3.0500e-002	-26.2804	-17.791734
  62	3.1000e-002	-28.9048	-20.327523
  63	3.1500e-002	-31.5131	-22.775738
  64	3.2000e-002	-34.0398	-25.182741
  65	3.2500e-002	-36.7106	-27.650273
  66	3.3000e-002	-39.2036	-29.933643
  67	3.3500e-002	-41.9385	-32.367691
  68	3.4000e-002	-44.4315	-34.515835
  69	3.4500e-002	-47.0927	-36.835264
  70	3.5000e-002	-49.6754	-39.024620
  71	3.5500e-002	-52.1988	-41.086478
  72	3.6000e-002	-54.8744	-43.197274
  73	3.6500e-002	-57.5260	-45.223072
  74	3.7000e-002	-60.0430	-47.163871
  75	3.7500e-002	-62.7010	-49.197396
  76	3.8000e-002	-65.2132	-51.008122
  77	3.8500e-002	-61.7766	-49.318455
  78	3.9000e-002	-58.7693	-48.313927
  79	3.9500e-002	-56.3020	-47.425306
  80	4.0000e-002	-53.8186	-46.281690
  81	4.0500e-002	-51.3176	-45.167694
  82	4.1000e-002	-48.8438	-43.955821
  83	4.1500e-002	-46.1794	-42.555922
  84	4.2000e-002	-43.6977	-41.257762
  85	4.2500e-002	-41.1182	-39.765137
  86	4.3000e-002	-38.5307	-38.250618
  87	4.3500e-002	-36.0120	-36.680721
  88	4.4000e-002	-33.4229	-35.011660
  89	4.4500e-002	-30.8643	-33.303962
  90	4.5000e-002	-28.2479	-31.433995
  91	4.5500e-002	-25.6828	-29.511226
  92	4.6000e-002	-23.1658	-27.578153
  93	4.6500e-002	-20.5399	-25.920683
  94	4.7000e-002	-17.9427	-23.311486
  95	4.7500e-002	-15.4305	-21.178796
  96	4.8000e-002	-12.7517	-18.806565
  97	4.8500e-002	-10.3292	-16.659708
  98	4.9000e-002	-7.5879	-14.178009
  99	4.9500e-002	-5.0885	-11.846990
 100	5.0000e-002	-2.4529	-9.356276
 101	5.0500e-002	0.1378	-6.897758
 102	5.1000e-002	2.6660	-4.489467
 103	5.1500e-002	5.3096	-1.949814
 104	5.2000e-002	7.8987	0.516430
 105	5.2500e-002	10.5054	2.931161
 106	5.3000e-002	13.0497	5.335588
 107	5.3500e-002	15.6660	7.886832
 108	5.4000e-002	18.2455	10.362091
 109	5.4500e-002	20.8122	12.825760
 110	5.5000e-002	23.3965	15.356398
 111	5.5500e-002	25.9760	17.836809
 112	5.6000e-002	28.6100	20.442142
 113	5.6500e-002	31.1927	22.865888
 114	5.7000e-002	33.7482	25.306375
 115	5.7500e-002	36.4222	27.809968
 116	5.8000e-002	38.8799	30.135836
 117	5.8500e-002	41.5940	32.572460
 118	5.9000e-002	44.1495	34.833936
 119	5.9500e-002	46.7370	37.049048
 120	6.0000e-002	49.3421	39.300221
 121	6.0500e-002	51.8928	41.369806
 122	6.1000e-002	54.5732	43.490905
 123	6.1500e-002	57.1799	45.369887
 124	6.2000e-002	59.7114	47.474245
 125	6.2500e-002	62.3870	49.539966
 126	6.3000e-002	64.8495	51.382888
 127	6.3500e-002	61.4273	50.007458
 128	6.4000e-002	58.4937	48.626876
 129	6.4500e-002	56.0777	47.729240
 130	6.5000e-002	53.6023	46.630699
 131	6.5500e-002	51.0148	45.371175
 132	6.6000e-002	48.6115	44.195363
 133	6.6500e-002	45.9327	42.785160
 134	6.7000e-002	43.4349	41.468971
 135	6.7500e-002	40.8330	39.991800
 136	6.8000e-002	38.2631	38.506902
 137	6.8500e-002	35.7781	36.960186
 138	6.9000e-002	33.1025	35.209990
 139	6.9500e-002	30.5791	33.528049
 140	7.0000e-002	27.9980	31.663233
 141	7.0500e-002	25.4553	29.812584
 142	7.1000e-002	22.8870	27.817695
 143	7.1500e-002	20.2851	25.695308
 144	7.2000e-002	17.7216	23.542012
 145	7.2500e-002	15.1165	21.307581
 146	7.3000e-002	12.5562	18.917320
 147	7.3500e-002	10.0424	16.512893
 148	7.4000e-002	7.3940	14.054375
 149	7.4500e-002	4.8498	11.670553
 150	7.5000e-002	2.2206	9.048478
 151	7.5500e-002	-0.3156	6.346556
 152	7.6000e-002	-2.9496	4.055459
 153	7.6500e-002	-5.5772	1.428233
 154	7.7000e-002	-8.0878	-0.956877
 155	7.7500e-002	-10.7506	-3.576377
 156	7.8000e-002	-13.2676	-5.979517
 157	7.8500e-002	-15.9256	-8.570683
 158	7.9000e-002	-18.4747	-11.011171
 159	7.9500e-002	-21.1150	-13.562414
 160	8.0000e-002	-23.6320	-15.987447
 161	8.0500e-002	-26.2164	-18.462707
 162	8.1000e-002	-28.8840	-21.053874
 163	8.1500e-002	-31.4699	-23.530421
 164	8.2000e-002	-34.0350	-25.864017
 165	8.2500e-002	-36.6369	-28.271020
 166	8.3000e-002	-39.1699	-30.611055
 167	8.3500e-002	-41.8375	-32.997453
 168	8.4000e-002	-44.4763	-35.249913
 169	8.4500e-002	-46.9405	-37.292453
 170	8.5000e-002	-49.6449	-39.588701
 171	8.5500e-002	-52.1635	-41.568136
 172	8.6000e-002	-54.8167	-43.684084
 173	8.6500e-002	-57.4123	-45.693139
 174	8.7000e-002	-59.9982	-47.651969
 175	8.7500e-002	-62.5745	-49.480725
 176	8.8000e-002	-65.1668	-51.382888
 177	8.8500e-002	-61.8935	-49.775644
 178	8.9000e-002	-58.7228	-48.696420
 179	8.9500e-002	-56.4109	-47.801360
 180	9.0000e-002	-53.8058	-46.668047
 181	9.0500e-002	-51.3929	-45.575944
 182	9.1000e-002	-48.8711	-44.328012
 183	9.1500e-002	-46.3124	-43.023413
 184	9.2000e-002	-43.6720	-41.626089
 185	9.2500e-002	-41.1534	-40.157933
 186	9.3000e-002	-38.5611	-38.673035
 187	9.3500e-002	-36.0729	-37.126320
 188	9.4000e-002	-33.3845	-35.372259
 189	9.4500e-002	-30.8931	-33.404415
 190	9.5000e-002	-28.2655	-31.861563
 191	9.5500e-002	-25.7389	-29.987733
 192	9.6000e-002	-23.2219	-28.054660
 193	9.6500e-002	-20.5527	-25.919395
 194	9.7000e-002	-18.0357	-23.863976
 195	9.7500e-002	-15.3568	-21.561289
 196	9.8000e-002	-12.8222	-19.383524
 197	9.8500e-002	-10.2908	-17.039626
 198	9.9000e-002	-7.7000	-14.716333
 199	9.9500e-002	-5.0773	-12.283573
 200	1.0000e-001	-2.4946	-9.818616
 201	1.0050e-001	0.0961	-7.372977

Center data before PMax,±Pr and ±Vc Calc.

PMax (µC/cm2):	5.14e+001
Pr (µC/cm2):	6.68e+000
-Pr (µC/cm2):	-7.37e+000
-Vc:	-7.08e+000
C (Max-Eff) (nF):	2.21e-001
Vert. (±Pr) Shift (µC/cm2):	-3.45e-001
Offset (µC/cm2):	1.92e+000

A (Loop Area - µC/cm2·Volts):	1.28e+003



