»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 17:1:57
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 05:01:36 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	75.00
Field:	2884.62 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1810	-2.173257
   2	1.0000e-003	3.7683	1.131382
   3	1.5000e-003	6.7211	3.552551
   4	2.0000e-003	9.6851	5.790846
   5	2.5000e-003	12.5803	8.200425
   6	3.0000e-003	15.5603	10.652503
   7	3.5000e-003	18.5179	13.212761
   8	4.0000e-003	21.5060	15.814231
   9	4.5000e-003	24.4219	18.420852
  10	5.0000e-003	27.3587	21.037776
  11	5.5000e-003	30.3612	23.788637
  12	6.0000e-003	33.2948	26.400409
  13	6.5000e-003	36.3020	29.062408
  14	7.0000e-003	39.1427	31.567288
  15	7.5000e-003	42.3022	34.269211
  16	8.0000e-003	45.1108	36.655608
  17	8.5000e-003	48.2446	39.219730
  18	9.0000e-003	51.0052	41.419388
  19	9.5000e-003	54.1246	43.836695
  20	1.0000e-002	57.0694	46.071125
  21	1.0500e-002	59.9966	48.270784
  22	1.1000e-002	63.0535	50.512941
  23	1.1500e-002	65.8445	52.531012
  24	1.2000e-002	69.0665	54.792488
  25	1.2500e-002	71.8318	56.707530
  26	1.3000e-002	74.9080	58.853098
  27	1.3500e-002	71.0003	57.526606
  28	1.4000e-002	67.6021	56.106101
  29	1.4500e-002	64.8752	55.119603
  30	1.5000e-002	61.9929	53.981138
  31	1.5500e-002	59.0144	52.689418
  32	1.6000e-002	56.1193	51.406714
  33	1.6500e-002	53.1297	49.943709
  34	1.7000e-002	50.3082	48.610778
  35	1.7500e-002	47.2369	46.953307
  36	1.8000e-002	44.3481	45.419470
  37	1.8500e-002	41.2736	43.634501
  38	1.9000e-002	38.4185	41.997636
  39	1.9500e-002	35.4529	40.101911
  40	2.0000e-002	32.3863	38.051644
  41	2.0500e-002	29.4624	36.011680
  42	2.1000e-002	26.4823	33.889293
  43	2.1500e-002	23.5487	31.554410
  44	2.2000e-002	20.5591	29.211799
  45	2.2500e-002	17.5566	26.580709
  46	2.3000e-002	14.6150	24.038481
  47	2.3500e-002	11.6526	21.254135
  48	2.4000e-002	8.6678	18.400246
  49	2.4500e-002	5.6989	15.434313
  50	2.5000e-002	2.6900	12.349897
  51	2.5500e-002	-0.2948	9.368510
  52	2.6000e-002	-3.2973	6.199096
  53	2.6500e-002	-6.2789	3.215133
  54	2.7000e-002	-9.2349	0.121702
  55	2.7500e-002	-12.2630	-2.772111
  56	2.8000e-002	-15.1966	-5.632439
  57	2.8500e-002	-18.2295	-8.635720
  58	2.9000e-002	-21.2432	-11.635137
  59	2.9500e-002	-24.2377	-14.526374
  60	3.0000e-002	-27.1568	-17.462687
  61	3.0500e-002	-30.1929	-20.330743
  62	3.1000e-002	-33.1874	-23.301827
  63	3.1500e-002	-36.1851	-26.037233
  64	3.2000e-002	-39.0962	-28.784231
  65	3.2500e-002	-42.2060	-31.509335
  66	3.3000e-002	-45.1781	-34.206106
  67	3.3500e-002	-48.1565	-36.738031
  68	3.4000e-002	-51.1622	-39.264805
  69	3.4500e-002	-54.0894	-41.630597
  70	3.5000e-002	-57.1575	-44.054342
  71	3.5500e-002	-60.0991	-46.304227
  72	3.6000e-002	-63.2217	-48.600475
  73	3.6500e-002	-66.0768	-50.708695
  74	3.7000e-002	-69.1978	-52.949565
  75	3.7500e-002	-72.1907	-55.028165
  76	3.8000e-002	-75.1723	-57.140250
  77	3.8500e-002	-71.2951	-55.579368
  78	3.9000e-002	-67.8761	-54.617339
  79	3.9500e-002	-65.0803	-53.661750
  80	4.0000e-002	-62.2492	-52.599268
  81	4.0500e-002	-59.3156	-51.380956
  82	4.1000e-002	-56.3901	-50.129160
  83	4.1500e-002	-53.4132	-48.756305
  84	4.2000e-002	-50.5245	-47.258529
  85	4.2500e-002	-47.5413	-45.733707
  86	4.3000e-002	-44.5292	-44.107144
  87	4.3500e-002	-41.6132	-42.425204
  88	4.4000e-002	-38.5579	-40.592585
  89	4.4500e-002	-35.7605	-38.834661
