»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 17:4:14
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 05:03:51 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	105.00
Field:	4038.46 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1442	-2.323937
   2	1.0000e-003	5.0533	1.790764
   3	1.5000e-003	9.0282	4.898361
   4	2.0000e-003	13.1314	8.259666
   5	2.5000e-003	17.2410	11.789680
   6	3.0000e-003	21.3441	15.335148
   7	3.5000e-003	25.5755	19.109855
   8	4.0000e-003	29.6722	22.795699
   9	4.5000e-003	33.9004	26.386243
  10	5.0000e-003	38.0660	30.216327
  11	5.5000e-003	42.2429	33.877702
  12	6.0000e-003	46.3461	37.392262
  13	6.5000e-003	50.6190	40.864322
  14	7.0000e-003	54.6998	44.129038
  15	7.5000e-003	58.8766	47.303604
  16	8.0000e-003	63.0503	50.444685
  17	8.5000e-003	67.2784	53.459556
  18	9.0000e-003	71.3271	56.345642
  19	9.5000e-003	75.6354	59.350211
  20	1.0000e-002	79.7161	62.134556
  21	1.0500e-002	83.9763	65.079883
  22	1.1000e-002	88.0266	67.932485
  23	1.1500e-002	92.2435	70.889403
  24	1.2000e-002	96.3883	73.888820
  25	1.2500e-002	100.5508	77.036341
  26	1.3000e-002	104.7180	80.316510
  27	1.3500e-002	98.8557	79.926290
  28	1.4000e-002	94.8086	79.470389
  29	1.4500e-002	90.8961	78.707978
  30	1.5000e-002	86.8778	77.721480
  31	1.5500e-002	82.7715	76.464532
  32	1.6000e-002	78.7083	75.089102
  33	1.6500e-002	74.6052	73.619658
  34	1.7000e-002	70.4251	72.076806
  35	1.7500e-002	66.2867	70.421911
  36	1.8000e-002	62.1611	68.692320
  37	1.8500e-002	57.9506	66.763111
  38	1.9000e-002	53.8042	64.790116
  39	1.9500e-002	49.6786	62.724394
  40	2.0000e-002	45.4793	60.498979
  41	2.0500e-002	41.3216	58.175686
  42	2.1000e-002	37.1448	55.693987
  43	2.1500e-002	32.9855	53.012670
  44	2.2000e-002	28.8007	50.171659
  45	2.2500e-002	24.7520	47.270119
  46	2.3000e-002	20.4838	43.899800
  47	2.3500e-002	16.3726	40.401982
  48	2.4000e-002	12.1877	36.538413
  49	2.4500e-002	8.0878	32.439167
  50	2.5000e-002	3.9285	27.900761
  51	2.5500e-002	-0.1939	23.099633
  52	2.6000e-002	-4.3884	18.096312
  53	2.6500e-002	-8.5668	13.082688
  54	2.7000e-002	-12.7821	8.177243
  55	2.7500e-002	-17.0151	3.533234
  56	2.8000e-002	-21.1791	-1.073428
  57	2.8500e-002	-25.4008	-5.561607
  58	2.9000e-002	-29.5825	-9.904258
  59	2.9500e-002	-33.7818	-14.147745
  60	3.0000e-002	-37.9715	-18.316535
  61	3.0500e-002	-42.1291	-22.268966
  62	3.1000e-002	-46.3605	-26.155716
  63	3.1500e-002	-50.5037	-29.829970
  64	3.2000e-002	-54.7414	-33.482330
  65	3.2500e-002	-58.9167	-36.962118
  66	3.3000e-002	-63.1144	-40.291226
  67	3.3500e-002	-67.2897	-43.525033
  68	3.4000e-002	-71.5162	-46.715053
  69	3.4500e-002	-75.6931	-49.789166
  70	3.5000e-002	-79.8251	-52.850400
  71	3.5500e-002	-84.0981	-55.874287
  72	3.6000e-002	-88.2188	-59.095215
  73	3.6500e-002	-92.4598	-62.237584
  74	3.7000e-002	-96.6142	-65.519042
  75	3.7500e-002	-100.8360	-68.918983
  76	3.8000e-002	-104.9952	-72.590661
  77	3.8500e-002	-99.2017	-72.620281
  78	3.9000e-002	-95.1723	-72.609979
  79	3.9500e-002	-91.2165	-72.129608
  80	4.0000e-002	-87.1486	-71.365910
  81	4.0500e-002	-83.1207	-70.300852
  82	4.1000e-002	-78.9599	-69.072238
  83	4.1500e-002	-74.9096	-67.749609
  84	4.2000e-002	-70.6847	-66.220924
  85	4.2500e-002	-66.5943	-64.625270
  86	4.3000e-002	-62.4030	-62.868634
  87	4.3500e-002	-58.2967	-61.088817
  88	4.4000e-002	-54.0557	-59.126124
  89	4.4500e-002	-49.9686	-57.106765
  90	4.5000e-002	-45.7549	-54.841426
  91	4.5500e-002	-41.5972	-52.507831
  92	4.6000e-002	-37.4588	-50.019692
  93	4.6500e-002	-33.2835	-47.303604
  94	4.7000e-002	-29.1259	-44.545015
  95	4.7500e-002	-24.9923	-41.503099
  96	4.8000e-002	-20.7834	-38.207475
  97	4.8500e-002	-16.6594	-34.705794
  98	4.9000e-002	-12.5098	-30.919496
  99	4.9500e-002	-8.3730	-26.870476
 100	5.0000e-002	-4.2345	-22.504644
 101	5.0500e-002	-0.0529	-17.855483
 102	5.1000e-002	4.0952	-13.143217
 103	5.1500e-002	8.2784	-8.433527
 104	5.2000e-002	12.4857	-3.772775
 105	5.2500e-002	16.6514	0.896992
 106	5.3000e-002	20.8715	5.404489
 107	5.3500e-002	25.0564	9.924864
 108	5.4000e-002	29.2493	14.294560
 109	5.4500e-002	33.4373	18.574107
 110	5.5000e-002	37.6014	22.744185
 111	5.5500e-002	41.8183	26.759721
 112	5.6000e-002	46.0416	30.667077
 113	5.6500e-002	50.1913	34.324588
 114	5.7000e-002	54.4178	37.955055
 115	5.7500e-002	58.5578	41.331814
 116	5.8000e-002	62.8260	44.739482
 117	5.8500e-002	66.9596	47.956547
 118	5.9000e-002	71.1685	51.086037
 119	5.9500e-002	75.2989	54.148559
 120	6.0000e-002	79.5190	57.191764
 121	6.0500e-002	83.7039	60.193757
 122	6.1000e-002	87.8968	63.254991
 123	6.1500e-002	92.0384	66.318801
 124	6.2000e-002	96.2650	69.463746
 125	6.2500e-002	100.4514	72.949973
 126	6.3000e-002	104.6219	76.069160
 127	6.3500e-002	98.8925	75.845074
 128	6.4000e-002	94.9416	75.542427
 129	6.4500e-002	90.9746	74.848273
 130	6.5000e-002	86.9131	73.829578
 131	6.5500e-002	82.8500	72.661493
 132	6.6000e-002	78.7500	71.136671
 133	6.6500e-002	74.6837	69.950556
 134	6.7000e-002	70.4812	68.361341
 135	6.7500e-002	66.3540	66.738642
 136	6.8000e-002	62.1723	65.048975
 137	6.8500e-002	58.0163	63.095297
 138	6.9000e-002	53.8987	61.248511
 139	6.9500e-002	49.7330	59.200819
 140	7.0000e-002	45.5257	56.962525
 141	7.0500e-002	41.3697	54.676581
 142	7.1000e-002	37.2569	52.238669
 143	7.1500e-002	33.0352	49.580533
 144	7.2000e-002	28.8712	46.775583
 145	7.2500e-002	24.7440	43.774877
 146	7.3000e-002	20.5238	40.490844
 147	7.3500e-002	16.3886	36.987875
 148	7.4000e-002	12.2646	33.284001
 149	7.4500e-002	8.0894	29.144831
 150	7.5000e-002	3.9462	24.632182
 151	7.5500e-002	-0.1810	19.845221
 152	7.6000e-002	-4.3531	14.866368
 153	7.6500e-002	-8.4995	9.769033
 154	7.7000e-002	-12.7501	4.675562
 155	7.7500e-002	-16.9205	-0.180944
 156	7.8000e-002	-21.1102	-4.930558
 157	7.8500e-002	-25.3464	-9.564264
 158	7.9000e-002	-29.5056	-14.058883
 159	7.9500e-002	-33.7321	-18.407973
 160	8.0000e-002	-37.9427	-22.617975
 161	8.0500e-002	-42.0586	-26.605178
