»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 17:3:47
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 05:03:30 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	100.00
Field:	3846.15 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.2083	-2.475904
   2	1.0000e-003	4.8626	2.044472
   3	1.5000e-003	8.7783	5.182977
   4	2.0000e-003	12.7501	8.482465
   5	2.5000e-003	16.6017	11.678924
   6	3.0000e-003	20.6873	15.323557
   7	3.5000e-003	24.5517	18.656529
   8	4.0000e-003	28.4498	22.212300
   9	4.5000e-003	32.4023	25.743602
  10	5.0000e-003	36.3677	29.223390
  11	5.5000e-003	40.2482	32.580831
  12	6.0000e-003	44.1991	35.993650
  13	6.5000e-003	48.2623	39.303441
  14	7.0000e-003	52.0690	42.376266
  15	7.5000e-003	56.1706	45.504468
  16	8.0000e-003	60.0030	48.366085
  17	8.5000e-003	64.1478	51.383532
  18	9.0000e-003	67.8280	54.026213
  19	9.5000e-003	71.9616	56.883966
  20	1.0000e-002	75.9093	59.621948
  21	1.0500e-002	79.7449	62.294250
  22	1.1000e-002	83.8193	65.078595
  23	1.1500e-002	87.7542	67.846198
  24	1.2000e-002	91.7100	70.613801
  25	1.2500e-002	95.6145	73.472842
  26	1.3000e-002	99.6920	76.522486
  27	1.3500e-002	94.8631	75.908178
  28	1.4000e-002	90.5276	74.895923
  29	1.4500e-002	86.9387	74.105180
  30	1.5000e-002	82.9910	72.935806
  31	1.5500e-002	79.1297	71.663404
  32	1.6000e-002	75.3630	70.389714
  33	1.6500e-002	71.2775	68.573837
  34	1.7000e-002	67.4226	67.237042
  35	1.7500e-002	63.5053	65.649116
  36	1.8000e-002	59.4294	63.752103
  37	1.8500e-002	55.6098	61.858955
  38	1.9000e-002	51.5515	59.891110
  39	1.9500e-002	47.6951	57.991522
  40	2.0000e-002	43.6993	55.842090
  41	2.0500e-002	39.6490	53.419633
  42	2.1000e-002	35.7781	51.025508
  43	2.1500e-002	31.7230	48.313283
  44	2.2000e-002	27.7560	45.451666
  45	2.2500e-002	23.7859	42.398159
  46	2.3000e-002	19.8365	39.174655
  47	2.3500e-002	15.8535	35.653656
  48	2.4000e-002	11.9522	32.007735
  49	2.4500e-002	7.9516	27.782279
  50	2.5000e-002	4.0263	23.498869
  51	2.5500e-002	0.0529	18.910237
  52	2.6000e-002	-4.0022	14.152896
  53	2.6500e-002	-7.9436	9.703353
  54	2.7000e-002	-11.9875	5.121160
  55	2.7500e-002	-15.9785	0.837750
  56	2.8000e-002	-19.9503	-3.422478
  57	2.8500e-002	-24.0038	-7.609299
  58	2.9000e-002	-27.8842	-11.556578
  59	2.9500e-002	-31.9842	-15.685445
  60	3.0000e-002	-35.9127	-19.539999
  61	3.0500e-002	-39.8861	-23.349478
  62	3.1000e-002	-43.9396	-26.964490
  63	3.1500e-002	-47.9002	-30.616850
  64	3.2000e-002	-51.8511	-34.106941
  65	3.2500e-002	-55.9014	-37.474685
