»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 17:1:31
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 05:01:09 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	70.00
Field:	2692.31 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1842	-2.099206
   2	1.0000e-003	3.3197	0.941423
   3	1.5000e-003	6.0931	3.137218
   4	2.0000e-003	8.8071	5.268620
   5	2.5000e-003	11.6494	7.551989
   6	3.0000e-003	14.3074	9.731042
   7	3.5000e-003	17.1769	12.220468
   8	4.0000e-003	19.8894	14.480656
   9	4.5000e-003	22.6515	16.963642
  10	5.0000e-003	25.4345	19.500719
  11	5.5000e-003	28.0989	21.883253
  12	6.0000e-003	30.8883	24.448663
  13	6.5000e-003	33.6440	26.780970
  14	7.0000e-003	36.4671	29.426227
  15	7.5000e-003	39.0898	31.737929
  16	8.0000e-003	41.9721	34.208037
  17	8.5000e-003	44.7022	36.517164
  18	9.0000e-003	47.4804	38.815987
  19	9.5000e-003	50.2858	41.056857
  20	1.0000e-002	52.9086	43.145760
  21	1.0500e-002	55.8726	45.357009
  22	1.1000e-002	58.5242	47.409852
  23	1.1500e-002	61.3376	49.475573
  24	1.2000e-002	64.0132	51.425387
  25	1.2500e-002	66.9164	53.466640
  26	1.3000e-002	69.6368	55.403575
  27	1.3500e-002	66.3636	54.267686
  28	1.4000e-002	63.4252	53.048086
  29	1.4500e-002	60.8633	52.056437
  30	1.5000e-002	58.1060	50.847140
  31	1.5500e-002	55.4304	49.721554
  32	1.6000e-002	52.6939	48.414380
  33	1.6500e-002	50.0070	47.056979
  34	1.7000e-002	47.1936	45.655792
  35	1.7500e-002	44.4154	44.093622
  36	1.8000e-002	41.6565	42.509559
  37	1.8500e-002	38.8703	40.893299
  38	1.9000e-002	36.1354	39.225525
  39	1.9500e-002	33.3556	37.488207
  40	2.0000e-002	30.5438	35.471424
  41	2.0500e-002	27.7737	33.503580
  42	2.1000e-002	24.9955	31.433995
  43	2.1500e-002	22.2061	29.198277
  44	2.2000e-002	19.3975	26.853090
