»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 17:2:21
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 05:02:01 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	80.00
Field:	3076.92 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1762	-2.401852
   2	1.0000e-003	4.0471	1.214448
   3	1.5000e-003	7.1505	3.692284
   4	2.0000e-003	10.3677	6.229361
   5	2.5000e-003	13.3781	8.675000
   6	3.0000e-003	16.6338	11.479951
   7	3.5000e-003	19.7452	14.096874
   8	4.0000e-003	22.9704	16.949476
   9	4.5000e-003	26.0177	19.687458
  10	5.0000e-003	29.1980	22.542636
  11	5.5000e-003	32.3463	25.678566
  12	6.0000e-003	35.5618	28.224657
  13	6.5000e-003	38.6588	30.972943
  14	7.0000e-003	41.8423	33.687743
  15	7.5000e-003	44.9714	36.016188
  16	8.0000e-003	48.2094	38.955075
  17	8.5000e-003	51.3320	41.485713
  18	9.0000e-003	54.4819	43.919761
  19	9.5000e-003	57.6526	46.329340
  20	1.0000e-002	60.9002	48.736344
  21	1.0500e-002	63.9732	50.982365
  22	1.1000e-002	67.1551	53.193614
  23	1.1500e-002	70.4155	55.509180
  24	1.2000e-002	73.4869	57.692096
  25	1.2500e-002	76.7361	59.904633
  26	1.3000e-002	79.8026	62.027020
  27	1.3500e-002	75.7523	60.764921
  28	1.4000e-002	72.1939	59.448732
  29	1.4500e-002	69.2363	58.440340
  30	1.5000e-002	66.1441	57.264528
  31	1.5500e-002	63.1192	56.083563
  32	1.6000e-002	59.9693	54.723587
  33	1.6500e-002	56.7938	53.254143
  34	1.7000e-002	53.6295	51.756367
  35	1.7500e-002	50.5614	50.232833
  36	1.8000e-002	47.2977	48.512257
  37	1.8500e-002	44.2248	46.839331
  38	1.9000e-002	40.9531	44.944895
  39	1.9500e-002	37.9058	43.125154
  40	2.0000e-002	34.6310	40.970571
  41	2.0500e-002	31.4955	38.925455
  42	2.1000e-002	28.2864	36.629207
  43	2.1500e-002	25.1830	34.286597
  44	2.2000e-002	21.9738	31.801034
  45	2.2500e-002	18.7967	29.139035
  46	2.3000e-002	15.6901	26.390750
  47	2.3500e-002	12.4857	23.467316
  48	2.4000e-002	9.3262	20.380325
  49	2.4500e-002	6.1315	17.192881
  50	2.5000e-002	2.9913	13.960362
  51	2.5500e-002	-0.2115	10.475423
  52	2.6000e-002	-3.3742	7.248055
  53	2.6500e-002	-6.6378	3.842963
  54	2.7000e-002	-9.7877	0.592414
  55	2.7500e-002	-13.0225	-2.640105
  56	2.8000e-002	-16.1002	-5.781187
  57	2.8500e-002	-19.3783	-9.075523
  58	2.9000e-002	-22.5842	-12.229483
  59	2.9500e-002	-25.7565	-15.360261
  60	3.0000e-002	-28.9128	-18.452404
  61	3.0500e-002	-32.1156	-21.589622
  62	3.1000e-002	-35.3279	-24.636690
  63	3.1500e-002	-38.5066	-27.582017
  64	3.2000e-002	-41.6437	-30.517041
  65	3.2500e-002	-44.8320	-33.316841
  66	3.3000e-002	-48.1437	-36.210654
  67	3.3500e-002	-51.2423	-38.781215
  68	3.4000e-002	-54.4659	-41.385260
  69	3.4500e-002	-57.6093	-43.839914
  70	3.5000e-002	-60.8521	-46.371840
  71	3.5500e-002	-64.1013	-48.738919
  72	3.6000e-002	-67.1871	-51.032591
  73	3.6500e-002	-70.5180	-53.416413
  74	3.7000e-002	-73.6359	-55.249033
  75	3.7500e-002	-76.9444	-57.909744
  76	3.8000e-002	-79.9500	-60.041146
  77	3.8500e-002	-76.1977	-58.703063
  78	3.9000e-002	-72.5928	-57.482175
  79	3.9500e-002	-69.5920	-56.918094
  80	4.0000e-002	-66.4341	-55.739706
  81	4.0500e-002	-63.4749	-54.612832
  82	4.1000e-002	-60.2577	-53.281188
  83	4.1500e-002	-57.0710	-51.811744
  84	4.2000e-002	-53.9644	-50.386087
  85	4.2500e-002	-50.8802	-48.832933
  86	4.3000e-002	-47.7015	-47.188340
  87	4.3500e-002	-44.4411	-45.412387
  88	4.4000e-002	-41.2992	-43.601661
  89	4.4500e-002	-38.1670	-41.694346
  90	4.5000e-002	-34.9802	-39.665972
  91	4.5500e-002	-31.8095	-37.490783
  92	4.6000e-002	-28.6196	-35.256352
  93	4.6500e-002	-25.5018	-32.943363
  94	4.7000e-002	-22.2494	-30.350908
  95	4.7500e-002	-19.0867	-27.807392
  96	4.8000e-002	-15.9544	-25.115772
  97	4.8500e-002	-12.7100	-22.238702
  98	4.9000e-002	-9.6210	-19.360343
  99	4.9500e-002	-6.3494	-16.216686
 100	5.0000e-002	-3.2316	-13.054999
 101	5.0500e-002	0.0144	-9.825055
 102	5.1000e-002	3.0922	-6.713595
 103	5.1500e-002	6.3462	-3.378047
 104	5.2000e-002	9.5538	-0.188027
 105	5.2500e-002	12.7148	2.931161
 106	5.3000e-002	15.9048	6.141786
 107	5.3500e-002	19.0787	9.317640
 108	5.4000e-002	22.2558	12.461297
 109	5.4500e-002	25.4601	15.691240
 110	5.5000e-002	28.5972	18.722854
 111	5.5500e-002	31.8913	21.982418
 112	5.6000e-002	34.9706	24.975396
 113	5.6500e-002	38.2455	28.005722
 114	5.7000e-002	41.3537	30.896959
 115	5.7500e-002	44.5933	33.758576
 116	5.8000e-002	47.8024	36.769583
 117	5.8500e-002	50.9155	39.204920
 118	5.9000e-002	54.1550	41.817980
 119	5.9500e-002	57.3017	44.317709
 120	6.0000e-002	60.5621	46.925618
 121	6.0500e-002	63.7681	49.229593
 122	6.1000e-002	66.8571	51.582506
 123	6.1500e-002	70.1559	53.905799
 124	6.2000e-002	73.3234	56.209773
 125	6.2500e-002	76.5919	58.518900
 126	6.3000e-002	79.6312	60.687650
 127	6.3500e-002	75.8677	59.620017
 128	6.4000e-002	72.3269	58.364357
 129	6.4500e-002	69.3068	57.310890
 130	6.5000e-002	66.2707	56.230379
 131	6.5500e-002	63.1625	54.977295
 132	6.6000e-002	60.0703	53.662394
 133	6.6500e-002	56.8419	52.158178
 134	6.7000e-002	53.7962	50.851004
 135	6.7500e-002	50.5966	49.221865
 136	6.8000e-002	47.4788	47.590152
 137	6.8500e-002	44.2184	45.865712
