»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	1/17/2022 - 20:49:39
Configured:	01/17/22 08:06:29 PM
Executed:	01/17/22 08:49:23 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	3.00e-004
Sample Thickness (µm):	5.40e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.02 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	76.00
Field:	1407.41 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1810	-80.095214
   2	1.0000e-003	3.4639	-78.809075
   3	1.5000e-003	6.5529	-77.859495
   4	2.0000e-003	9.6291	-76.561336
   5	2.5000e-003	12.4665	-74.578038
   6	3.0000e-003	15.2415	-71.188400
   7	3.5000e-003	17.9283	-65.454864
   8	4.0000e-003	20.4838	-55.370091
   9	4.5000e-003	23.1642	-39.852282
  10	5.0000e-003	26.1186	-20.247676
  11	5.5000e-003	29.6258	-2.782628
  12	6.0000e-003	32.9823	9.838363
  13	6.5000e-003	36.3277	18.877397
  14	7.0000e-003	39.3061	25.476372
  15	7.5000e-003	42.5505	31.005568
  16	8.0000e-003	45.5354	35.753465
  17	8.5000e-003	48.5843	40.056622
  18	9.0000e-003	51.5595	43.818879
  19	9.5000e-003	54.5764	47.557097
  20	1.0000e-002	57.6991	51.187134
  21	1.0500e-002	60.5637	54.588792
  22	1.1000e-002	63.6063	58.290949
  23	1.1500e-002	66.5799	62.029166
  24	1.2000e-002	69.6352	66.019804
  25	1.2500e-002	72.6217	69.938321
  26	1.3000e-002	75.6290	74.265518
  27	1.3500e-002	72.1987	76.765676
  28	1.4000e-002	68.7508	78.965335
  29	1.4500e-002	65.8573	80.816413
  30	1.5000e-002	63.0231	82.306892
  31	1.5500e-002	60.0334	83.220412
  32	1.6000e-002	57.1287	84.037771
  33	1.6500e-002	54.0541	84.698871
  34	1.7000e-002	51.1734	85.083510
  35	1.7500e-002	48.1661	85.083510
  36	1.8000e-002	45.2085	85.215730
  37	1.8500e-002	42.1596	84.915230
  38	1.9000e-002	39.1571	84.698871
  39	1.9500e-002	36.2155	84.242111
  40	2.0000e-002	33.1009	83.905551
  41	2.0500e-002	30.1192	83.196372
  42	2.1000e-002	27.0831	82.475172
  43	2.1500e-002	24.1784	81.693873
  44	2.2000e-002	21.0173	80.612073
  45	2.2500e-002	18.0084	79.722594
  46	2.3000e-002	15.0092	78.580695
  47	2.3500e-002	12.0451	77.342636
  48	2.4000e-002	8.9738	75.864177
  49	2.4500e-002	6.0065	73.977038
  50	2.5000e-002	2.9832	72.017779
  51	2.5500e-002	-0.0080	69.132981
  52	2.6000e-002	-2.8439	65.298604
  53	2.6500e-002	-5.7278	60.202128
  54	2.7000e-002	-8.4611	51.643894
  55	2.7500e-002	-11.2088	39.840262
  56	2.8000e-002	-14.0639	25.055672
  57	2.8500e-002	-17.1961	8.480104
  58	2.9000e-002	-20.4005	-6.665085
  59	2.9500e-002	-23.7025	-19.201937
  60	3.0000e-002	-26.8492	-29.190549
  61	3.0500e-002	-30.0776	-37.304044
  62	3.1000e-002	-33.1618	-43.830899
  63	3.1500e-002	-36.2508	-49.516355
  64	3.2000e-002	-39.3029	-54.059912
  65	3.2500e-002	-42.3887	-58.254889
  66	3.3000e-002	-45.3896	-61.908967
  67	3.3500e-002	-48.5202	-65.490924
  68	3.4000e-002	-51.4714	-68.531982
  69	3.4500e-002	-54.5444	-71.585060
  70	3.5000e-002	-57.6606	-74.830457
  71	3.5500e-002	-60.6503	-77.715255
  72	3.6000e-002	-63.6768	-80.756313
  73	3.6500e-002	-66.6488	-83.653131
  74	3.7000e-002	-69.8259	-87.006709
  75	3.7500e-002	-72.8828	-90.264127
  76	3.8000e-002	-75.8613	-93.557604
  77	3.8500e-002	-72.6730	-95.168283
  78	3.9000e-002	-69.1498	-96.875122
  79	3.9500e-002	-66.2819	-97.824701
  80	4.0000e-002	-63.4509	-98.545901
  81	4.0500e-002	-60.4804	-99.207000
  82	4.1000e-002	-57.4780	-99.579620
  83	4.1500e-002	-54.3793	-99.687800
  84	4.2000e-002	-51.5339	-99.856080
  85	4.2500e-002	-48.5811	-99.591640
  86	4.3000e-002	-45.5241	-99.447400
  87	4.3500e-002	-42.4880	-99.074780
  88	4.4000e-002	-39.5096	-98.762261
  89	4.4500e-002	-36.5616	-98.185301
  90	4.5000e-002	-33.4742	-97.560261
  91	4.5500e-002	-30.4349	-96.803002
  92	4.6000e-002	-27.4484	-96.081803
  93	4.6500e-002	-24.4748	-95.540903
  94	4.7000e-002	-21.3634	-94.326884
  95	4.7500e-002	-18.4042	-93.377304
  96	4.8000e-002	-15.3616	-92.115205
  97	4.8500e-002	-12.3592	-90.841086
  98	4.9000e-002	-9.3359	-89.434747
  99	4.9500e-002	-6.2260	-87.523569
 100	5.0000e-002	-3.3021	-85.432090
 101	5.0500e-002	-0.3012	-82.751632
 102	5.1000e-002	2.6628	-79.349974
 103	5.1500e-002	5.7069	-75.094897
 104	5.2000e-002	8.5892	-70.755680
 105	5.2500e-002	11.5549	-65.082244
 106	5.3000e-002	14.2914	-57.617830
 107	5.3500e-002	16.9782	-47.316697
 108	5.4000e-002	19.7035	-32.712407
 109	5.4500e-002	22.6804	-14.442020
 110	5.5000e-002	25.9760	2.866768
 111	5.5500e-002	29.4367	16.196939
 112	5.6000e-002	32.6955	26.029292
 113	5.6500e-002	35.9047	33.577846
 114	5.7000e-002	38.8735	39.503702
 115	5.7500e-002	42.1227	44.732399
 116	5.8000e-002	45.1108	48.903336
 117	5.8500e-002	48.1277	52.737713
