»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 16:59:30
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 04:59:16 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	50.00
Field:	1923.08 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.2099	-1.544140
   2	1.0000e-003	1.2914	-0.083711
   3	1.5000e-003	3.3678	1.461717
   4	2.0000e-003	5.4650	3.106309
   5	2.5000e-003	7.3956	4.596359
   6	3.0000e-003	9.5025	6.395494
   7	3.5000e-003	11.4475	8.031072
   8	4.0000e-003	13.3846	9.618998
   9	4.5000e-003	15.3440	11.321544
  10	5.0000e-003	17.2842	12.953258
  11	5.5000e-003	19.2357	14.689288
  12	6.0000e-003	21.2048	16.409864
  13	6.5000e-003	23.1242	18.151046
  14	7.0000e-003	25.0612	19.912833
  15	7.5000e-003	27.0655	21.732574
  16	8.0000e-003	29.0186	23.526558
  17	8.5000e-003	31.0325	25.348874
  18	9.0000e-003	32.8750	27.025663
  19	9.5000e-003	34.9418	28.878888
  20	1.0000e-002	36.8884	30.719235
  21	1.0500e-002	38.8671	32.345797
  22	1.1000e-002	40.7945	34.061222
  23	1.1500e-002	42.8277	35.783086
  24	1.2000e-002	44.7583	37.537146
  25	1.2500e-002	46.7931	39.110906
  26	1.3000e-002	48.7125	40.691106
  27	1.3500e-002	48.1020	40.803149
  28	1.4000e-002	46.3108	40.309900
  29	1.4500e-002	44.4539	39.440597
  30	1.5000e-002	42.5153	38.403873
  31	1.5500e-002	40.5975	37.479192
  32	1.6000e-002	38.6332	36.366484
  33	1.6500e-002	36.6641	35.193247
  34	1.7000e-002	34.6710	33.940163
  35	1.7500e-002	32.7084	32.670337
  36	1.8000e-002	30.6784	31.328391
  37	1.8500e-002	28.7077	30.089473
  38	1.9000e-002	26.6730	28.564651
  39	1.9500e-002	24.7295	27.187933
  40	2.0000e-002	22.6916	25.727504
  41	2.0500e-002	20.6808	23.897460
  42	2.1000e-002	18.7150	22.460213
  43	2.1500e-002	16.6738	20.626306
  44	2.2000e-002	14.6647	18.860655
  45	2.2500e-002	12.6972	17.173563
  46	2.3000e-002	10.6657	15.236627
  47	2.3500e-002	8.6918	13.422038
  48	2.4000e-002	6.6907	11.603585
  49	2.4500e-002	4.6960	9.696270
  50	2.5000e-002	2.7061	7.893271
  51	2.5500e-002	0.7162	6.090272
  52	2.6000e-002	-1.2625	4.295001
  53	2.6500e-002	-3.2748	2.430185
  54	2.7000e-002	-5.2551	0.669685
  55	2.7500e-002	-7.2146	-0.980059
  56	2.8000e-002	-9.2237	-2.914419
  57	2.8500e-002	-11.1992	-4.681357
