»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 17:3:3
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 05:02:48 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	90.00
Field:	3461.54 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1987	-2.542872
   2	1.0000e-003	4.5726	1.565389
   3	1.5000e-003	7.9532	4.263448
   4	2.0000e-003	11.6398	7.278320
   5	2.5000e-003	14.9755	10.005999
   6	3.0000e-003	18.7695	13.342835
   7	3.5000e-003	22.1837	16.244375
   8	4.0000e-003	25.7357	19.467879
   9	4.5000e-003	29.2461	22.544567
  10	5.0000e-003	32.8413	25.757769
  11	5.5000e-003	36.3565	28.906577
  12	6.0000e-003	39.9806	32.034780
  13	6.5000e-003	43.4093	34.987834
  14	7.0000e-003	47.1311	38.064523
  15	7.5000e-003	50.5389	40.859171
  16	8.0000e-003	54.2191	43.634501
  17	8.5000e-003	57.6862	46.331272
  18	9.0000e-003	61.3680	49.046073
  19	9.5000e-003	64.7791	51.500727
  20	1.0000e-002	68.5426	54.403555
  21	1.0500e-002	71.8991	56.577456
  22	1.1000e-002	75.6049	59.016656
  23	1.1500e-002	79.0528	61.451992
  24	1.2000e-002	82.7090	63.932403
  25	1.2500e-002	86.2049	66.388345
  26	1.3000e-002	89.8306	68.984663
  27	1.3500e-002	85.1955	67.833320
  28	1.4000e-002	81.2926	66.709021
  29	1.4500e-002	77.9377	65.672297
  30	1.5000e-002	74.5683	64.563453
  31	1.5500e-002	70.9394	63.203477
  32	1.6000e-002	67.5027	61.611686
  33	1.6500e-002	64.0276	60.402389
  34	1.7000e-002	60.4980	58.962566
  35	1.7500e-002	56.8884	57.232975
  36	1.8000e-002	53.3107	55.691411
  37	1.8500e-002	49.8324	53.696522
  38	1.9000e-002	46.1858	51.863902
  39	1.9500e-002	42.6130	49.834241
  40	2.0000e-002	39.0866	47.731172
  41	2.0500e-002	35.5554	45.525074
  42	2.1000e-002	31.9233	43.110344
  43	2.1500e-002	28.3553	40.557813
  44	2.2000e-002	24.8273	37.955055
