»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 16:59:12
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 04:58:55 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	45.00
Field:	1730.77 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1987	-1.281417
   2	1.0000e-003	1.3138	0.096589
   3	1.5000e-003	3.1467	1.575048
   4	2.0000e-003	5.0180	2.935024
   5	2.5000e-003	6.7772	4.349091
   6	3.0000e-003	8.7078	5.898382
   7	3.5000e-003	10.4093	7.264797
   8	4.0000e-003	12.2214	8.797346
   9	4.5000e-003	13.8700	10.234594
  10	5.0000e-003	15.6821	11.741385
  11	5.5000e-003	17.4589	13.258480
  12	6.0000e-003	19.1492	14.740803
  13	6.5000e-003	20.9756	16.420167
  14	7.0000e-003	22.7316	17.920520
  15	7.5000e-003	24.5309	19.581854
  16	8.0000e-003	26.2067	21.083494
  17	8.5000e-003	28.0412	22.809222
  18	9.0000e-003	29.7924	24.330180
  19	9.5000e-003	31.5067	25.937425
  20	1.0000e-002	33.3556	27.592320
  21	1.0500e-002	35.1020	29.181535
  22	1.1000e-002	36.8852	30.742416
  23	1.1500e-002	38.5947	32.287844
  24	1.2000e-002	40.4420	33.924709
  25	1.2500e-002	42.1932	35.405744
  26	1.3000e-002	44.0037	36.939580
  27	1.3500e-002	43.2635	36.942156
  28	1.4000e-002	41.6020	36.182321
  29	1.4500e-002	39.9021	35.258928
  30	1.5000e-002	38.1862	34.402504
  31	1.5500e-002	36.4318	33.381234
  32	1.6000e-002	34.6726	32.366403
  33	1.6500e-002	32.8910	31.263998
  34	1.7000e-002	31.0982	30.131972
  35	1.7500e-002	29.3150	29.002522
  36	1.8000e-002	27.5045	27.655425
  37	1.8500e-002	25.7437	26.446128
  38	1.9000e-002	23.9509	25.144105
  39	1.9500e-002	22.1164	23.730039
  40	2.0000e-002	20.3556	22.345594
  41	2.0500e-002	18.5419	20.885165
  42	2.1000e-002	16.7347	19.356479
  43	2.1500e-002	14.9082	17.772416
  44	2.2000e-002	13.1346	16.224413
  45	2.2500e-002	11.3097	14.596563
  46	2.3000e-002	9.5393	13.002197
  47	2.3500e-002	7.7177	11.279045
  48	2.4000e-002	5.9489	9.767102
  49	2.4500e-002	4.1448	8.085161
  50	2.5000e-002	2.3536	6.452160
  51	2.5500e-002	0.5560	4.879687
  52	2.6000e-002	-1.2160	3.338123
  53	2.6500e-002	-3.0249	1.699970
  54	2.7000e-002	-4.8097	0.198330
  55	2.7500e-002	-6.5929	-1.358688
  56	2.8000e-002	-8.3810	-2.780482
  57	2.8500e-002	-10.2090	-4.489467
  58	2.9000e-002	-11.9602	-6.153377
  59	2.9500e-002	-13.7418	-7.710395
  60	3.0000e-002	-15.5571	-9.327943
  61	3.0500e-002	-17.3019	-10.959657
  62	3.1000e-002	-19.1331	-12.686672
  63	3.1500e-002	-20.8827	-14.342855
  64	3.2000e-002	-22.6723	-16.008053
  65	3.2500e-002	-24.4892	-17.787870
  66	3.3000e-002	-26.2212	-19.374509
  67	3.3500e-002	-28.0236	-21.140160
  68	3.4000e-002	-29.8068	-22.768010
  69	3.4500e-002	-31.5644	-24.470556
  70	3.5000e-002	-33.3781	-26.206587
  71	3.5500e-002	-35.1949	-27.997995
  72	3.6000e-002	-36.9605	-29.619406
  73	3.6500e-002	-38.7550	-31.203469
  74	3.7000e-002	-40.5446	-32.881545
  75	3.7500e-002	-42.3631	-34.502956
  76	3.8000e-002	-44.1543	-36.103762
  77	3.8500e-002	-43.7585	-36.269895
  78	3.9000e-002	-42.1548	-35.634982
  79	3.9500e-002	-40.4645	-34.739922
  80	4.0000e-002	-38.7854	-33.985238
  81	4.0500e-002	-36.9974	-32.927908
  82	4.1000e-002	-35.1981	-31.882169
  83	4.1500e-002	-33.4277	-30.800370
  84	4.2000e-002	-31.6525	-29.678647
  85	4.2500e-002	-29.8773	-28.475789
  86	4.3000e-002	-28.0669	-27.244599
  87	4.3500e-002	-26.2933	-25.970909
  88	4.4000e-002	-24.4668	-24.598054
  89	4.4500e-002	-22.6515	-23.186564
  90	4.5000e-002	-20.8411	-21.753180
  91	4.5500e-002	-19.0306	-20.294039
  92	4.6000e-002	-17.2506	-18.858079
  93	4.6500e-002	-15.4433	-17.301061
  94	4.7000e-002	-13.6361	-15.765936
  95	4.7500e-002	-11.8192	-14.141949
  96	4.8000e-002	-10.0328	-12.596522
  97	4.8500e-002	-8.1903	-10.909430
  98	4.9000e-002	-6.4359	-9.420668
  99	4.9500e-002	-4.6511	-7.845620
 100	5.0000e-002	-2.8214	-6.270572
 101	5.0500e-002	-1.0174	-4.646585
 102	5.1000e-002	0.7146	-3.281458
 103	5.1500e-002	2.6099	-1.571185
 104	5.2000e-002	4.3499	-0.095301
 105	5.2500e-002	6.1844	1.483610
 106	5.3000e-002	7.9676	3.056083
 107	5.3500e-002	9.7684	4.691660
 108	5.4000e-002	11.5805	6.296329
 109	5.4500e-002	13.3109	7.861074
 110	5.5000e-002	15.1614	9.535288
 111	5.5500e-002	16.9398	11.253288
 112	5.6000e-002	18.7358	12.908183
 113	5.6500e-002	20.5383	14.618456
 114	5.7000e-002	22.3231	16.302972
 115	5.7500e-002	24.1319	18.046729
 116	5.8000e-002	25.8879	19.666853
 117	5.8500e-002	27.6839	21.504623
 118	5.9000e-002	29.5248	23.163382
 119	5.9500e-002	31.2328	24.911003
 120	6.0000e-002	33.1009	26.529839
 121	6.0500e-002	34.8425	28.171855
 122	6.1000e-002	36.7106	29.961975
 123	6.1500e-002	38.4538	31.452025
 124	6.2000e-002	40.3091	33.064421
 125	6.2500e-002	42.1035	34.719316
 126	6.3000e-002	43.9204	36.293077
 127	6.3500e-002	43.2955	36.429589
 128	6.4000e-002	41.6501	35.716117
 129	6.4500e-002	39.9374	34.813330
 130	6.5000e-002	38.2439	34.049631
 131	6.5500e-002	36.4751	32.983286
 132	6.6000e-002	34.6902	31.918229
 133	6.6500e-002	32.9166	30.848020
 134	6.7000e-002	31.1478	29.731449
 135	6.7500e-002	29.3630	28.550485
 136	6.8000e-002	27.5654	27.305128
 137	6.8500e-002	25.7677	26.081665
 138	6.9000e-002	23.9477	24.672750
 139	6.9500e-002	22.1581	23.307622
 140	7.0000e-002	20.3844	21.946358
 141	7.0500e-002	18.5596	20.600548
 142	7.1000e-002	16.7491	18.958532
 143	7.1500e-002	14.9675	17.441437
 144	7.2000e-002	13.1570	15.866389
 145	7.2500e-002	11.3818	14.274599
 146	7.3000e-002	9.5538	12.613264
 147	7.3500e-002	7.7417	10.959657
 148	7.4000e-002	5.9793	9.370442
 149	7.4500e-002	4.1801	7.703956
 150	7.5000e-002	2.3824	6.127620
 151	7.5500e-002	0.5944	4.570602
 152	7.6000e-002	-1.1936	2.986539
 153	7.6500e-002	-2.9993	1.388309
 154	7.7000e-002	-4.7729	-0.188027
 155	7.7500e-002	-6.5753	-1.688380
 156	7.8000e-002	-8.3441	-3.236383
 157	7.8500e-002	-10.1337	-4.877112
 158	7.9000e-002	-11.9490	-6.507538
 159	7.9500e-002	-13.6954	-8.028496
 160	8.0000e-002	-15.5186	-9.741345
 161	8.0500e-002	-17.2618	-11.365331
 162	8.1000e-002	-19.0482	-12.986742
 163	8.1500e-002	-20.8635	-14.686713
 164	8.2000e-002	-22.6243	-16.362214
 165	8.2500e-002	-24.4235	-18.095668
 166	8.3000e-002	-26.1859	-19.778896
 167	8.3500e-002	-27.9691	-21.418337
 168	8.4000e-002	-29.7700	-23.117019
 169	8.4500e-002	-31.5099	-24.708810
 170	8.5000e-002	-33.3220	-26.538854
 171	8.5500e-002	-35.1148	-28.148674
 172	8.6000e-002	-36.9157	-29.800993
 173	8.6500e-002	-38.6620	-31.388920
 174	8.7000e-002	-40.4885	-33.073436
 175	8.7500e-002	-42.2701	-34.629166
 176	8.8000e-002	-44.0742	-36.237699
 177	8.8500e-002	-43.7489	-36.429589
 178	8.9000e-002	-42.2108	-35.915735
 179	8.9500e-002	-40.5173	-35.074765
 180	9.0000e-002	-38.8303	-34.265991
 181	9.0500e-002	-37.0198	-33.207373
 182	9.1000e-002	-35.2911	-32.300722
 183	9.1500e-002	-33.4806	-31.047638
 184	9.2000e-002	-31.7038	-29.958112
 185	9.2500e-002	-29.9190	-28.790026
 186	9.3000e-002	-28.1053	-27.494443
 187	9.3500e-002	-26.3349	-26.305752
 188	9.4000e-002	-24.5020	-24.909715
 189	9.4500e-002	-22.7156	-23.553603
 190	9.5000e-002	-20.8939	-22.112492
 191	9.5500e-002	-19.1043	-20.713880
 192	9.6000e-002	-17.2506	-19.116938
 193	9.6500e-002	-15.4786	-17.602419
 194	9.7000e-002	-13.7338	-16.199944
 195	9.7500e-002	-11.8304	-14.469065
 196	9.8000e-002	-10.0777	-12.945531
 197	9.8500e-002	-8.2592	-11.321544
 198	9.9000e-002	-6.4856	-9.786420
 199	9.9500e-002	-4.6799	-8.161145
 200	1.0000e-001	-2.8759	-6.583521
 201	1.0050e-001	-1.0558	-4.945368

Center data before PMax,±Pr and ±Vc Calc.

PMax (µC/cm2):	3.63e+001
Pr (µC/cm2):	4.04e+000
-Pr (µC/cm2):	-4.95e+000
-Vc:	-4.56e+000
C (Max-Eff) (nF):	2.26e-001
Vert. (±Pr) Shift (µC/cm2):	-4.51e-001
Offset (µC/cm2):	1.32e+000

A (Loop Area - µC/cm2·Volts):	5.66e+002



Hysteresis Version: 5.15.2 - Radiant Technologies, Inc., 1999 - 11/06/17

