»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 16:57:55
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 04:57:36 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	20.00
Field:	769.23 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1842	-0.251776
   2	1.0000e-003	0.4037	0.329047
   3	1.5000e-003	1.3042	1.078580
   4	2.0000e-003	2.1085	1.633646
   5	2.5000e-003	2.9047	2.241514
   6	3.0000e-003	3.6866	2.837791
   7	3.5000e-003	4.5213	3.488159
   8	4.0000e-003	5.3192	4.092163
   9	4.5000e-003	6.1347	4.756697
  10	5.0000e-003	6.8717	5.297597
  11	5.5000e-003	7.7401	5.963418
  12	6.0000e-003	8.5123	6.625376
  13	6.5000e-003	9.3214	7.212639
  14	7.0000e-003	10.0665	7.857855
  15	7.5000e-003	10.8916	8.504359
  16	8.0000e-003	11.6430	9.109651
  17	8.5000e-003	12.4553	9.723959
  18	9.0000e-003	13.2019	10.342130
  19	9.5000e-003	14.0126	11.034996
  20	1.0000e-002	14.8217	11.761347
  21	1.0500e-002	15.5843	12.389821
  22	1.1000e-002	16.3630	13.037613
  23	1.1500e-002	17.1625	13.716313
  24	1.2000e-002	17.9604	14.392437
  25	1.2500e-002	18.7550	15.035078
  26	1.3000e-002	19.4712	15.645522
  27	1.3500e-002	19.0931	15.398253
  28	1.4000e-002	18.3529	14.637130
  29	1.4500e-002	17.5774	14.119412
  30	1.5000e-002	16.8180	13.621012
  31	1.5500e-002	16.0554	13.140641
  32	1.6000e-002	15.2591	12.594590
  33	1.6500e-002	14.4772	11.998313
  34	1.7000e-002	13.6954	11.432944
  35	1.7500e-002	12.9408	10.915226
  36	1.8000e-002	12.1076	10.273873
  37	1.8500e-002	11.3306	9.641536
  38	1.9000e-002	10.5343	9.025940
  39	1.9500e-002	9.7428	8.452844
  40	2.0000e-002	8.9513	7.866870
  41	2.0500e-002	8.1390	7.206200
  42	2.1000e-002	7.3572	6.418032
  43	2.1500e-002	6.5769	6.032963
  44	2.2000e-002	5.7662	5.329793
  45	2.2500e-002	4.9603	4.626624
  46	2.3000e-002	4.1576	3.972393
  47	2.3500e-002	3.3726	3.319449
  48	2.4000e-002	2.5747	2.723172
  49	2.4500e-002	1.7784	2.120455
  50	2.5000e-002	0.9773	1.436604
  51	2.5500e-002	0.2067	0.927900
  52	2.6000e-002	-0.6136	0.233746
  53	2.6500e-002	-1.4067	-0.367683
  54	2.7000e-002	-2.2190	-1.028353
  55	2.7500e-002	-3.0009	-1.587283
  56	2.8000e-002	-3.8196	-2.278862
  57	2.8500e-002	-4.6078	-2.907335
